GEOID,poverty_estimate,poverty_population,pctpov,majority,plurality,white,black,asian,american_indian,hispanic,urban_rural
13075,4051,16872,24.010194404931248,White,White,64.71,26.92,0.72,0,5.78,6
13077,15191,142258,10.67848556847418,White,White,71,17.67,2.07,0.02,7.01,2
13079,2430,12181,19.949101059026354,White,White,73.27,21.97,0.15,0,3.3,4
13081,7085,22229,31.872778802465245,Non-White,White,49.88,45.54,0.19,0.11,3.44,5
13083,2023,14819,13.65139348134152,White,White,93.33,0.65,1.07,0.04,2.28,3
13085,2084,24277,8.584256703876097,White,White,92.1,1.05,0.59,0,4.7,2
13087,6203,25476,24.348406343224998,White,White,50.21,42.05,0.25,0,6.08,5
13089,111182,735419,15.118184327573806,Non-White,Black,29.13,53.44,6.04,0.04,8.53,2
13091,4075,18692,21.800770383051574,White,White,64.74,28.74,0.33,0,3.53,6
13093,2984,12374,24.11508000646517,Non-White,Black,42.59,49.08,0.01,0,6.94,6
13095,24396,85812,28.429590267095513,Non-White,Black,25.23,69.39,0.96,0.01,2.86,4
13097,18157,141635,12.819571433614573,Non-White,Black,40.52,45.93,1.59,0.02,9.66,2
13099,3086,10107,30.533293756802216,Non-White,Black,45.22,52.2,0.55,0,0.81,6
13101,960,3981,24.114544084400904,White,White,66.31,1.98,0,0,27.28,4
13103,5073,59845,8.476898654858383,White,White,78.28,13.16,0.88,0.05,4.44,3
13105,4029,18892,21.326487402074953,White,White,63.51,29.6,0.43,0,5.7,6
13107,4785,21637,22.114895780376205,White,White,59.27,33.87,0.15,0,4.5,6
13109,2730,10153,26.888604353393085,White,White,56.26,29.64,0.91,0,11.72,6
13111,3109,25051,12.410682208295079,White,White,94.89,0.25,0.37,0.11,2.36,6
13113,6167,111314,5.540183624701296,White,White,62.2,22.51,4.4,0.13,7.23,2
13115,17122,93107,18.38959476731073,White,White,70.76,13.87,1.27,0,11.07,4
13117,12937,227535,5.685718680642538,White,White,71.7,3.32,12.91,0.02,9.5,2
13119,5084,22176,22.925685425685426,White,White,83.46,9.31,0.94,0,4.59,6
13121,144224,1003924,14.366027707276647,Non-White,Black,39.64,43.61,7.03,0.02,7.22,1
13123,5059,30138,16.78611719423983,White,White,85.87,0.41,0.45,0.01,11.58,6
13125,550,2915,18.867924528301888,White,White,87.38,10.21,0,0.03,1.23,6
13127,15092,83183,18.143130206893236,White,White,63.56,26.07,1.27,0.12,6.62,4
13129,10186,56476,18.035979885260996,White,White,77.52,3.74,1.02,0.07,15.84,5
13131,5490,24517,22.392625525145817,White,White,57.97,28.87,0.56,0,11.46,6
13133,3353,17173,19.524835497583414,White,White,57.52,35,1.14,0.02,6.05,6
13135,97006,908600,10.676425269645609,Non-White,White,37.29,27.02,11.6,0.02,21.17,2
13137,6381,42296,15.086533005485153,White,White,77.29,3.19,1.94,0.18,14.79,5
13139,27432,196852,13.935342287606932,White,White,60.82,7.08,1.78,0.01,28.39,4
13141,1340,6045,22.167080231596362,Non-White,Black,24.31,73.13,0.36,0.14,1.67,5
13143,4274,28722,14.880579346842143,White,White,90.87,5.07,0.41,0,1.7,2
13145,2079,33537,6.1991233562930494,White,White,76.88,16.09,1.03,0.01,3.56,3
13147,3750,24802,15.119748407386503,White,White,74.81,19.24,0.93,0,3.65,6
13149,1647,11500,14.321739130434782,White,White,84.76,8.73,0.53,0.09,2.74,2
13151,19070,223892,8.51749950869169,Non-White,Black,43.42,43.43,3.29,0,6.82,2
13153,21065,151261,13.9262599083703,White,White,56.25,30.7,3.22,0.01,6.53,4
13155,2186,9159,23.867234414237362,White,White,66.78,28.29,0.41,0,3.83,6
13157,7564,67035,11.283657790706346,White,White,81.35,6.63,1.78,0.06,7.66,5
13159,2115,13644,15.50131926121372,White,White,74.21,20.39,0.29,0,3.92,2
13161,3298,14967,22.035143983430213,White,White,70.85,16.41,0.23,0,12.12,6
13163,3711,15069,24.626717101333863,Non-White,Black,42.01,53.11,0.31,0,3.84,6
13165,2655,8717,30.45772628197774,White,White,54.67,34.91,1.11,0,8.17,6
13167,2043,9038,22.604558530648376,White,White,62.4,33.15,0.22,0,2.47,5
13169,3967,28291,14.022127178254568,White,White,71.43,24.56,0.75,0,1.67,4
13171,3215,17246,18.64200394294329,White,White,65.16,29.4,0.48,0,2.45,2
13173,2309,9987,23.120056072894762,White,White,68.61,24.39,0.2,0,5.72,4
13175,12539,46288,27.089094365710338,White,White,57.22,37.22,1.13,0.02,2.71,5
13177,3632,28453,12.764910554247354,White,White,71.64,20.7,2.45,0.12,2.98,4
13179,9410,59134,15.913011127270268,Non-White,Black,38.87,40.1,1.96,0.5,12.61,4
13181,1600,7760,20.618556701030926,White,White,66.18,30.97,0,0.03,1.82,3
13183,3481,18431,18.886658347349574,White,White,57.89,24.82,0.97,0.44,11.28,4
13185,27120,111150,24.399460188933872,White,White,53.78,36.36,1.74,0.07,5.66,4
13187,4664,30945,15.071901761189208,White,White,90.56,2.04,0.82,0.14,4.84,6
13189,5075,21184,23.95675981873112,White,White,53.52,39.9,0.44,1.23,3.06,3
13191,2465,13967,17.648743466743035,White,White,62.1,35.42,1.33,0.13,0.28,4
13193,2865,11253,25.45987736603572,Non-White,Black,32.33,61.47,0.39,0.01,4.29,6
13195,4953,28934,17.11826916430497,White,White,81.85,10.64,0.38,0,5.46,4
13197,1387,8312,16.686717998075075,White,White,59.23,30.46,0.91,0.62,7.28,3
13199,4806,20980,22.90753098188751,White,White,56.35,39.74,0.25,0,2.2,2
13201,1215,5606,21.673207277916518,White,White,67.98,30.31,0,0.29,0.43,6
13205,4592,19864,23.117196939186467,Non-White,Black,45.85,46.36,0.2,0.05,4.58,6
13207,3625,26089,13.894744911648587,White,White,72.41,23.2,0.91,0,2.32,4
13209,1529,8246,18.542323550812515,White,White,65.33,25.75,0.18,0,6.59,5
13211,1681,18218,9.227137995389176,White,White,71.95,22.79,0.07,0,3.21,2
13213,6118,39137,15.63226614201395,White,White,82.54,1.04,0.34,0,15.04,4
13215,39001,188720,20.666066129715983,Non-White,Black,40.35,45.61,2.46,0.14,7.61,3
13217,16559,106566,15.538727173770244,Non-White,White,46.44,44.33,1.06,0.08,5.58,2
13219,2336,37883,6.166354301401684,White,White,84.14,5.23,3.68,0.07,5.29,4
13221,1894,14798,12.799026895526422,White,White,75.64,17.57,0.21,0,4.57,4
13223,12969,158778,8.168008162339872,White,White,71,18.49,0.87,0.04,6.34,2
13225,5627,25337,22.208627698622568,Non-White,White,45.77,44.66,1.01,0.1,7.71,4
13227,3175,31133,10.198181993383226,White,White,86.62,1.03,0.43,0.05,3.09,2
13229,4219,19103,22.08553630319845,White,White,84.03,9.35,0,0,5.05,5
13231,1714,17976,9.53493546951491,White,White,86.91,8.94,0.51,0,1.63,2
13233,7634,41594,18.353608693561572,White,White,72.01,11.94,0.37,0.02,13.08,5
13235,2134,9629,22.16221829888877,White,White,57.39,37.7,0.27,0,3.13,4
13237,3449,21416,16.104781471796787,White,White,65.69,26.2,0.5,0,6.35,6
13239,465,2289,20.31454783748362,Non-White,Black,37.05,51.9,7.34,0.17,0.74,6
13241,2939,16255,18.080590587511537,White,White,87.7,1.9,1.13,0,8.01,6
13243,2225,6766,32.885013301803134,Non-White,Black,34.65,62.4,0,0,1.41,6
13245,44200,192024,23.01795608882223,Non-White,Black,34.53,55.58,1.78,0.21,4.92,3
13247,11665,88730,13.146624591457229,Non-White,Black,31.72,53.77,1.98,0.2,10.22,2
13249,897,5221,17.180616740088105,White,White,67.99,25.13,0,0,6.51,5
13251,3042,13550,22.45018450184502,White,White,54.46,41.63,0.74,0,2.17,6
13253,1949,8212,23.73356064296152,White,White,61.51,32.89,0.78,0,3.21,6
13255,11476,63966,17.94078103992746,White,White,58.52,34.09,0.98,0,4.56,2
13257,3291,24841,13.248258926774284,White,White,82.35,11.9,0.67,0.01,3.48,5
13259,1416,4106,34.48611787627861,Non-White,Black,23.38,52.42,3.23,0,18.75,6
13261,7567,27926,27.096612475828973,Non-White,Black,39.38,52.12,1.36,0,5.69,5
13263,1187,6275,18.91633466135458,Non-White,Black,40.69,57.73,0.55,0,0.6,6
13265,340,1611,21.104903786468032,Non-White,Black,32.77,62.07,0.74,0,3.97,6
13267,4421,19078,23.173288604675545,White,White,57.66,29.17,0.19,0.02,11.48,6
13269,2067,8003,25.82781456953642,White,White,57.32,37.96,1.84,0,2.62,6
13271,3704,12814,28.905884189168095,Non-White,White,48.94,38.5,0.02,0,11.41,6
13273,2719,8401,32.36519461968813,Non-White,Black,35.61,58.11,3.1,0,2.82,4
