projectIdentifier,subappType,subapplicationType
DR-1779-0004-R,Regular Project,Utility and Infrastructure Protection
DR-1791-0052-F,HMGP 5% Initiative,Generators
DR-1780-0026-R,Regular Project,Wind Retrofit
DR-1780-0030-P,Planning,Mitigation Planning
DR-1780-0054-R,Regular Project,Floodproofing
DR-1786-0069-R,Regular Project,Flood Control
DR-1786-0066-R,Regular Project,Wind Retrofit
DR-4268-0013-R,Regular Project,Generators
DR-1791-0051-F,HMGP 5% Initiative,Generators
DR-4255-0011-R,Regular Project,Safe Room/Wind Shelter
DR-1794-0026-R,Regular Project,Flood Control
DR-1786-0074-R,Regular Project,Wind Retrofit
DR-4259-0012-P,Planning,Mitigation Planning
DR-4259-0029-R,Regular Project,Safe Room/Wind Shelter
DR-1790-0004-R,Regular Project,Flood Control
DR-1791-0168-R,Regular Project,Wind Retrofit
DR-4273-0055-R,Regular Project,Flood Control
DR-4272-0025-R,Regular Project,Utility and Infrastructure Protection
DR-1810-0007-P,Planning,Mitigation Planning
DR-1818-0012-R,Regular Project,Flood Control
DR-1802-0009-M,Management Costs,Management Costs and Technical Assistance
DR-4283-0038-R,Regular Project,Utility and Infrastructure Protection
DR-4285-0021-R,Regular Project,Acquisitions
DR-1813-0010-R,Regular Project,Flood Control
DR-1818-0149-R,Regular Project,Safe Room/Wind Shelter
DR-4283-0041-R,Regular Project,Wind Retrofit
DR-1831-0023-F,HMGP 5% Initiative,Warning Systems
DR-4283-0075-R,Regular Project,Wind Retrofit
DR-4283-0035-R,Regular Project,Generators
DR-4283-0032-R,Regular Project,Flood Control
DR-4283-0060-R,Regular Project,Generators
DR-4285-0025-R,Regular Project,Elevations
DR-1819-0042-R,Regular Project,Safe Room/Wind Shelter
DR-1838-0002-R,Regular Project,Acquisitions
DR-1858-0020-P,Planning,Mitigation Planning
DR-1833-0027-P,Planning,Mitigation Planning
DR-4283-0006-R,Regular Project,Wind Retrofit
DR-1833-0045-F,HMGP 5% Initiative,Warning Systems
DR-1865-0002-R,Regular Project,Utility and Infrastructure Protection
DR-4292-0008-R,Regular Project,Acquisitions
DR-1880-0044-R,Regular Project,Acquisitions
DR-4288-0003-F,HMGP 5% Initiative,Generators
DR-1840-0003-R,Regular Project,Wind Retrofit
DR-1862-0009-R,Regular Project,Flood Control
DR-1830-0008-R,Regular Project,Utility and Infrastructure Protection
DR-1833-0025-P,Planning,Mitigation Planning
DR-4283-0054-R,Regular Project,Flood Control
DR-1871-0036-F,HMGP 5% Initiative,Generators
DR-1899-0007-R,Regular Project,Landslide Stabilization
DR-4332-0069-R,Regular Project,Flood Control
DR-1909-0043-R,Regular Project,Acquisitions
DR-1841-0036-R,Regular Project,Acquisitions
DR-1845-0001-M,Management Costs,Management Costs and Technical Assistance
DR-1858-0072-P,Planning,Mitigation Planning
DR-4305-0017-R,Regular Project,Flood Control
DR-4307-0003-R,Regular Project,Generators
DR-4308-0036-R,Regular Project,Wildfire Mitigation
DR-1930-0012-P,Planning,Mitigation Planning
DR-1930-0036-R,Regular Project,Utility and Infrastructure Protection
DR-1931-0004-P,Planning,Mitigation Planning
DR-4320-0003-R,Regular Project,Acquisitions
DR-1895-0007-P,Planning,Mitigation Planning
DR-1895-0009-R,Regular Project,Flood Control
DR-1895-0021-R,Regular Project,Flood Control
DR-1872-0001-M,Management Costs,Management Costs and Technical Assistance
DR-1895-0011-F,HMGP 5% Initiative,Education and Awareness
DR-1905-0004-R,Regular Project,Acquisitions
DR-1909-0083-R,Regular Project,Utility and Infrastructure Protection
DR-1898-0031-R,Regular Project,Acquisitions
DR-1909-0030-R,Regular Project,Acquisitions
DR-1930-0010-R,Regular Project,Utility and Infrastructure Protection
DR-1895-0028-R,Regular Project,Flood Control
DR-1910-0016-R,Regular Project,Elevations
DR-1912-0001-M,Management Costs,Management Costs and Technical Assistance
DR-1933-0003-P,Planning,Mitigation Planning
DR-1943-0005-R,Regular Project,Flood Control
DR-1971-0099-R,Regular Project,Safe Room/Wind Shelter
DR-1930-0035-R,Regular Project,Acquisitions
DR-1950-0001-M,Management Costs,Management Costs and Technical Assistance
DR-1971-0630-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0229-R,Regular Project,Safe Room/Wind Shelter
DR-4332-0169-R,Regular Project,Flood Control
DR-1971-0408-R,Regular Project,Safe Room/Wind Shelter
DR-4332-0302-R,Regular Project,Flood Control
DR-1947-0002-R,Regular Project,Utility and Infrastructure Protection
DR-1971-0182-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0238-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0573-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0185-R,Regular Project,Safe Room/Wind Shelter
DR-4332-0232-R,Regular Project,Flood Control
DR-4337-0166-R,Regular Project,Wind Retrofit
DR-4337-0093-R,Regular Project,Wind Retrofit
DR-4337-0264-R,Regular Project,Wind Retrofit
DR-4337-0006-R,Regular Project,Wind Retrofit
DR-1971-0235-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0296-R,Regular Project,Safe Room/Wind Shelter
DR-4337-0332-R,Regular Project,Wind Retrofit
DR-4337-0252-R,Regular Project,Generators
DR-1981-0030-R,Regular Project,Flood Control
DR-4337-0147-R,Regular Project,Flood Control
DR-1971-0702-R,Regular Project,Safe Room/Wind Shelter
DR-1972-0021-F,HMGP 5% Initiative,Generators
DR-1973-0028-F,HMGP 5% Initiative,Warning Systems
DR-4332-0239-R,Regular Project,Elevations
DR-1976-0008-F,HMGP 5% Initiative,Generators
DR-4337-0427-R,Regular Project,Wind Retrofit
DR-1985-0013-F,HMGP 5% Initiative,Warning Systems
DR-4337-0448-R,Regular Project,Flood Control
DR-1975-0005-R,Regular Project,Safe Room/Wind Shelter
DR-4337-0377-R,Regular Project,Flood Control
DR-1971-0504-F,HMGP 5% Initiative,Generators
DR-1971-0513-R,Regular Project,Safe Room/Wind Shelter
DR-4337-0099-R,Regular Project,Wind Retrofit
DR-4019-0003-F,HMGP 5% Initiative,Warning Systems
DR-4019-0031-R,Regular Project,Elevations
DR-4019-0032-R,Regular Project,Acquisitions
DR-1981-0045-R,Regular Project,Acquisitions
DR-1981-0022-R,Regular Project,Acquisitions
DR-4338-0005-R,Regular Project,Elevations
DR-4010-0002-F,HMGP 5% Initiative,Other Equipment
DR-1972-0019-R,Regular Project,Elevations
DR-4337-0352-R,Regular Project,Wind Retrofit
DR-4022-0024-R,Regular Project,Acquisitions
DR-4022-0112-R,Regular Project,Elevations
DR-4337-0499-R,Regular Project,Generators
DR-4337-0132-R,Regular Project,Generators
DR-1994-0014-F,HMGP 5% Initiative,Miscellaneous
DR-4026-0005-M,Management Costs,Management Costs and Technical Assistance
DR-4019-0001-R,Regular Project,Acquisitions
DR-4043-0001-R,Regular Project,Acquisitions
DR-4337-0367-R,Regular Project,Generators
DR-4337-0371-R,Regular Project,Wind Retrofit
DR-4042-0013-F,HMGP 5% Initiative,Warning Systems
DR-0913-0006-R,Regular Project,Flood Control
DR-1004-0001-R,Regular Project,Seismic Retrofit
DR-4026-0002-R,Regular Project,Flood Control
DR-4029-0012-R,Regular Project,Acquisitions
DR-4030-0013-R,Regular Project,Acquisitions
DR-1998-0016-F,HMGP 5% Initiative,Generators
DR-4009-0007-P,Planning,Mitigation Planning
DR-4022-0009-R,Regular Project,Flood Control
DR-1001-0009-R,Regular Project,Other Equipment
DR-0998-0004-R,Regular Project,Acquisitions
DR-1001-0008-R,Regular Project,Other Equipment
DR-1004-0006-R,Regular Project,Seismic Retrofit
DR-4022-0098-R,Regular Project,Flood Control
DR-4047-0006-M,Management Costs,Management Costs and Technical Assistance
DR-4057-0002-R,Regular Project,Safe Room/Wind Shelter
DR-1024-0002-R,Regular Project,Acquisitions
DR-1121-0001-R,Regular Project,Flood Control
DR-1001-0007-R,Regular Project,Other Equipment
DR-1001-0005-R,Regular Project,Other Equipment
DR-1054-0002-R,Regular Project,Acquisitions
DR-1004-0004-R,Regular Project,Seismic Retrofit
DR-1001-0014-R,Regular Project,Flood Control
DR-4051-0017-R,Regular Project,Flood Control
DR-1004-0008-R,Regular Project,Seismic Retrofit
DR-1054-0001-R,Regular Project,Acquisitions
DR-0948-0001-R,Regular Project,Other Equipment
DR-0866-0008-R,Regular Project,Flood Control
DR-1033-0015-R,Regular Project,Acquisitions
DR-0948-0002-R,Regular Project,Other Equipment
DR-4284-0049-P,Planning,Mitigation Planning
DR-1737-0027-P,Planning,Mitigation Planning
DR-0956-0005-R,Regular Project,Warning Systems
DR-0948-0005-R,Regular Project,Other Equipment
DR-1135-0047-R,Regular Project,Miscellaneous
DR-1001-0002-R,Regular Project,Other Equipment
DR-1144-0011-F,HMGP 5% Initiative,Education and Awareness
DR-1745-0006-P,Planning,Mitigation Planning
DR-0902-0002-R,Regular Project,Education and Awareness
DR-4303-0003-R,Regular Project,Generators
DR-1746-0008-M,Management Costs,Management Costs and Technical Assistance
DR-1751-0008-R,Regular Project,Safe Room/Wind Shelter
DR-0914-0010-R,Regular Project,Generators
DR-4285-0028-R,Regular Project,Elevations
DR-0956-0003-R,Regular Project,Flood Control
DR-1049-0001-F,HMGP 5% Initiative,Education and Awareness
DR-4281-0001-M,Management Costs,Management Costs and Technical Assistance
DR-4283-0046-R,Regular Project,Wind Retrofit
DR-1004-0005-R,Regular Project,Seismic Retrofit
DR-0905-0002-R,Regular Project,Education and Awareness
DR-0920-0011-R,Regular Project,Floodproofing
DR-0971-0001-R,Regular Project,Utility and Infrastructure Protection
DR-4325-0002-P,Planning,Mitigation Planning
DR-1093-0001-R,Regular Project,Acquisitions
DR-1763-0163-R,Regular Project,Utility and Infrastructure Protection
DR-1766-0015-R,Regular Project,Floodproofing
DR-1049-0034-R,Regular Project,Flood Control
DR-1741-0034-R,Regular Project,Safe Room/Wind Shelter
DR-1219-0007-R,Regular Project,Flood Control
DR-1028-0003-R,Regular Project,Utility and Infrastructure Protection
DR-0920-0012-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-1763-0039-R,Regular Project,Acquisitions
DR-0996-0097-R,Regular Project,Safe Room/Wind Shelter
DR-4332-0024-R,Regular Project,Flood Control
DR-1001-0015-R,Regular Project,Acquisitions
DR-4278-0001-M,Management Costs,Management Costs and Technical Assistance
DR-1735-0027-F,HMGP 5% Initiative,Warning Systems
DR-1198-0098-R,Regular Project,Shoreline Stabilization
DR-4303-0005-R,Regular Project,Generators
DR-4292-0003-R,Regular Project,Acquisitions
DR-4294-0011-R,Regular Project,Acquisitions
DR-1015-0035-R,Regular Project,Acquisitions
DR-1028-0005-R,Regular Project,Utility and Infrastructure Protection
DR-4332-0041-F,HMGP 5% Initiative,Generators
DR-0840-0001-R,Regular Project,Flood Control
DR-0821-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1761-0012-P,Planning,Mitigation Planning
DR-4318-0005-P,Planning,Mitigation Planning
DR-1785-0008-R,Regular Project,Wind Retrofit
DR-0993-0019-R,Regular Project,Flood Control
DR-1786-0037-R,Regular Project,Safe Room/Wind Shelter
DR-4330-0003-P,Planning,Mitigation Planning
DR-0914-0012-R,Regular Project,Shoreline Stabilization
DR-0914-0011-R,Regular Project,Shoreline Stabilization
DR-1094-0002-R,Regular Project,Acquisitions
DR-4299-0004-F,HMGP 5% Initiative,Generators
DR-0915-0002-R,Regular Project,Relocations
DR-1791-0030-F,HMGP 5% Initiative,Generators
DR-1786-0153-R,Regular Project,Flood Control
DR-1791-0070-R,Regular Project,Elevations
DR-1791-0216-P,Planning,Mitigation Planning
DR-4337-0262-R,Regular Project,Other Equipment
DR-1780-0029-P,Planning,Mitigation Planning
DR-1198-0009-R,Regular Project,Utility and Infrastructure Protection
DR-1793-0002-M,Management Costs,Management Costs and Technical Assistance
DR-4337-0390-R,Regular Project,Generators
DR-4337-0520-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-0975-0006-R,Regular Project,Flood Control
DR-4321-0003-F,HMGP 5% Initiative,Warning Systems
DR-1791-0315-R,Regular Project,Safe Room/Wind Shelter
DR-1794-0015-F,HMGP 5% Initiative,Generators
DR-1801-0004-R,Regular Project,Acquisitions
DR-4338-0013-P,Planning,Mitigation Planning
DR-1831-0011-R,Regular Project,Flood Control
DR-1833-0031-F,HMGP 5% Initiative,Warning Systems
DR-1791-0033-F,HMGP 5% Initiative,Generators
DR-4332-0181-R,Regular Project,Flood Control
DR-1162-0003-R,Regular Project,Acquisitions
DR-1160-0013-R,Regular Project,Flood Control
DR-1818-0094-R,Regular Project,Acquisitions
DR-1841-0001-M,Management Costs,Management Costs and Technical Assistance
DR-1841-0031-F,HMGP 5% Initiative,Warning Systems
DR-1175-0067-R,Regular Project,Utility and Infrastructure Protection
DR-1792-0014-R,Regular Project,Utility and Infrastructure Protection
DR-1199-0038-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-1813-0019-R,Regular Project,Flood Control
DR-1818-0040-F,HMGP 5% Initiative,Generators
DR-1042-0001-R,Regular Project,Acquisitions
DR-4337-0160-R,Regular Project,Generators
DR-1818-0103-F,HMGP 5% Initiative,Generators
DR-1819-0021-R,Regular Project,Safe Room/Wind Shelter
DR-4337-0010-R,Regular Project,Wind Retrofit
DR-0997-0023-R,Regular Project,Acquisitions
DR-1858-0025-P,Planning,Mitigation Planning
DR-4379-0001-M,Management Costs,Management Costs and Technical Assistance
DR-4337-0189-R,Regular Project,Generators
DR-4337-0146-R,Regular Project,Wind Retrofit
DR-0926-0002-R,Regular Project,Other
DR-4337-0167-R,Regular Project,Wind Retrofit
DR-4337-0151-R,Regular Project,Generators
DR-1818-0096-R,Regular Project,Flood Control
DR-1819-0023-R,Regular Project,Safe Room/Wind Shelter
DR-4337-0345-R,Regular Project,Wind Retrofit
DR-0997-0008-R,Regular Project,Acquisitions
DR-4337-0072-R,Regular Project,Wind Retrofit
DR-4337-0078-R,Regular Project,Wind Retrofit
DR-1819-0044-R,Regular Project,Safe Room/Wind Shelter
DR-4393-0021-R,Regular Project,Acquisitions
DR-1894-0010-R,Regular Project,Acquisitions
DR-1198-0012-R,Regular Project,Flood Control
DR-4337-0052-R,Regular Project,Wind Retrofit
DR-4337-0374-R,Regular Project,Elevations
DR-4337-0343-R,Regular Project,Generators
DR-1827-0010-R,Regular Project,Shoreline Stabilization
DR-4344-0060-R,Regular Project,Acquisitions
DR-4337-0281-R,Regular Project,Flood Control
DR-1016-0012-R,Regular Project,Acquisitions
DR-1858-0094-P,Planning,Mitigation Planning
DR-4353-0005-R,Regular Project,Shoreline Stabilization
DR-1906-0009-P,Planning,Mitigation Planning
DR-1909-0010-R,Regular Project,Acquisitions
DR-1910-0022-R,Regular Project,Acquisitions
DR-0955-0064-R,Regular Project,Wind Retrofit
DR-1830-0011-P,Planning,Mitigation Planning
DR-4353-0008-R,Regular Project,Seismic Retrofit
DR-1847-0008-F,HMGP 5% Initiative,Generators
DR-1866-0013-R,Regular Project,Safe Room/Wind Shelter
DR-0845-0052-R,Regular Project,Seismic Retrofit
DR-4382-0023-P,Planning,Mitigation Planning
DR-4392-0003-R,Regular Project,Generators
DR-4400-0041-P,Planning,Mitigation Planning
DR-1858-0018-P,Planning,Mitigation Planning
DR-1198-0013-R,Regular Project,Flood Control
DR-4382-0028-F,HMGP 5% Initiative,Other Equipment
DR-0955-0052-R,Regular Project,Wind Retrofit
DR-4393-0027-R,Regular Project,Acquisitions
DR-4393-0058-R,Regular Project,Elevations
DR-1008-1026-R,Regular Project,Seismic Retrofit
DR-0845-0063-R,Regular Project,Seismic Retrofit
DR-1008-1022-R,Regular Project,Seismic Retrofit
DR-1971-0080-R,Regular Project,Safe Room/Wind Shelter
DR-4386-0013-R,Regular Project,Acquisitions
DR-0955-0063-R,Regular Project,Wind Retrofit
DR-0955-0010-R,Regular Project,Warning Systems
DR-1895-0023-R,Regular Project,Flood Control
DR-1909-0016-R,Regular Project,Acquisitions
DR-0955-0050-R,Regular Project,Wind Retrofit
DR-4394-0048-P,Planning,Mitigation Planning
DR-1908-0022-R,Regular Project,Safe Room/Wind Shelter
DR-1008-1021-R,Regular Project,Seismic Retrofit
DR-0955-0005-R,Regular Project,Flood Control
DR-1971-0349-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0351-R,Regular Project,Safe Room/Wind Shelter
DR-1232-0013-R,Regular Project,Utility and Infrastructure Protection
DR-1895-0014-R,Regular Project,Flood Control
DR-1909-0025-R,Regular Project,Acquisitions
DR-1921-0012-R,Regular Project,Acquisitions
DR-1232-0009-R,Regular Project,Utility and Infrastructure Protection
DR-0955-0041-R,Regular Project,Wind Retrofit
DR-1212-0006-F,HMGP 5% Initiative,Generators
DR-1930-0002-P,Planning,Mitigation Planning
DR-1950-0005-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-0955-0030-R,Regular Project,Wind Retrofit
DR-1971-0710-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0277-R,Regular Project,Safe Room/Wind Shelter
DR-1008-1010-R,Regular Project,Seismic Retrofit
DR-1971-0469-R,Regular Project,Safe Room/Wind Shelter
DR-1909-0009-R,Regular Project,Acquisitions
DR-1008-1034-R,Regular Project,Seismic Retrofit
DR-1232-0010-R,Regular Project,Utility and Infrastructure Protection
DR-1927-0002-R,Regular Project,Utility and Infrastructure Protection
DR-0955-0018-R,Regular Project,Wind Retrofit
DR-1008-1077-R,Regular Project,Seismic Retrofit
DR-0955-0028-R,Regular Project,Wind Retrofit
DR-1959-0013-R,Regular Project,Flood Control
DR-1959-0007-F,HMGP 5% Initiative,Other Equipment
DR-4407-0088-P,Planning,Mitigation Planning
DR-1940-0006-F,HMGP 5% Initiative,Miscellaneous
DR-1971-0649-F,HMGP 5% Initiative,Warning Systems
DR-1005-0032-R,Regular Project,Wildfire Mitigation
DR-1971-0021-R,Regular Project,Safe Room/Wind Shelter
DR-0845-0002-R,Regular Project,Seismic Retrofit
DR-0845-0003-R,Regular Project,Seismic Retrofit
DR-1144-0014-F,HMGP 5% Initiative,Warning Systems
DR-4419-0052-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0064-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0119-R,Regular Project,Safe Room/Wind Shelter
DR-1008-1019-R,Regular Project,Seismic Retrofit
DR-1005-0034-R,Regular Project,Education and Awareness
DR-4408-0022-R,Regular Project,Acquisitions
DR-1969-0003-P,Planning,Mitigation Planning
DR-1971-0005-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0131-R,Regular Project,Safe Room/Wind Shelter
DR-1005-0033-R,Regular Project,Education and Awareness
DR-0845-0058-R,Regular Project,Seismic Retrofit
DR-0845-0032-R,Regular Project,Seismic Retrofit
DR-1971-0356-R,Regular Project,Safe Room/Wind Shelter
DR-4420-0009-R,Regular Project,Acquisitions
DR-1973-0016-F,HMGP 5% Initiative,Warning Systems
DR-1980-0050-F,HMGP 5% Initiative,Warning Systems
DR-1008-1014-R,Regular Project,Seismic Retrofit
DR-1101-0019-R,Regular Project,Shoreline Stabilization
DR-1971-0186-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0162-R,Regular Project,Safe Room/Wind Shelter
DR-0845-0061-R,Regular Project,Seismic Retrofit
DR-1008-1092-R,Regular Project,Seismic Retrofit
DR-1008-1079-R,Regular Project,Seismic Retrofit
DR-0845-0053-R,Regular Project,Seismic Retrofit
DR-4420-0035-R,Regular Project,Acquisitions
DR-4419-0042-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0053-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0276-R,Regular Project,Safe Room/Wind Shelter
DR-0845-0102-R,Regular Project,Seismic Retrofit
DR-0845-0049-R,Regular Project,Seismic Retrofit
DR-1008-1040-R,Regular Project,Seismic Retrofit
DR-4407-0075-R,Regular Project,Wildfire Mitigation
DR-1971-0510-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0496-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0538-R,Regular Project,Safe Room/Wind Shelter
DR-1976-0019-R,Regular Project,Landslide Stabilization
DR-1994-0005-R,Regular Project,Flood Control
DR-1044-0013-R,Regular Project,Flood Control
DR-1071-0014-F,HMGP 5% Initiative,Warning Systems
DR-1008-1012-R,Regular Project,Seismic Retrofit
DR-1981-0024-R,Regular Project,Utility and Infrastructure Protection
DR-4419-0072-R,Regular Project,Safe Room/Wind Shelter
DR-0845-0118-R,Regular Project,Seismic Retrofit
DR-1975-0001-M,Management Costs,Management Costs and Technical Assistance
DR-1980-0074-R,Regular Project,Acquisitions
DR-4419-0041-R,Regular Project,Safe Room/Wind Shelter
DR-1034-0002-R,Regular Project,Acquisitions
DR-1008-4035-R,Regular Project,Seismic Retrofit
DR-0861-0010-R,Regular Project,Warning Systems
DR-4419-0075-R,Regular Project,Safe Room/Wind Shelter
DR-1989-0005-F,HMGP 5% Initiative,Generators
DR-1142-0038-R,Regular Project,Flood Control
DR-4419-0036-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0073-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0093-R,Regular Project,Safe Room/Wind Shelter
DR-4440-0038-R,Regular Project,Acquisitions
DR-1226-0005-F,HMGP 5% Initiative,Warning Systems
DR-1162-0012-R,Regular Project,Seismic Retrofit
DR-4435-0005-F,HMGP 5% Initiative,Generators
DR-4438-0007-P,Planning,Mitigation Planning
DR-1210-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1232-0011-R,Regular Project,Utility and Infrastructure Protection
DR-1226-0001-F,HMGP 5% Initiative,Warning Systems
DR-1226-0021-R,Regular Project,Miscellaneous
DR-1232-0012-R,Regular Project,Utility and Infrastructure Protection
DR-1207-0003-F,HMGP 5% Initiative,Other Equipment
DR-1232-0014-R,Regular Project,Flood Control
DR-1207-M002-M,Management Costs,Management Costs and Technical Assistance
DR-1225-0006-R,Regular Project,Utility and Infrastructure Protection
DR-1190-0003-R,Regular Project,Utility and Infrastructure Protection
DR-1226-0016-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-1226-0020-R,Regular Project,Utility and Infrastructure Protection
DR-1225-0012-R,Regular Project,Utility and Infrastructure Protection
DR-1226-0019-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-1225-0002-F,HMGP 5% Initiative,Wind Retrofit
DR-1207-M003-M,Management Costs,Management Costs and Technical Assistance
DR-1226-0026-R,Regular Project,Utility and Infrastructure Protection
DR-1226-0037-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-1226-0044-R,Regular Project,Acquisitions
DR-1225-0011-R,Regular Project,Utility and Infrastructure Protection
DR-1225-0013-R,Regular Project,Utility and Infrastructure Protection
DR-1207-0013-R,Regular Project,Acquisitions
DR-1190-F007-F,HMGP 5% Initiative,Warning Systems
DR-1190-0009-R,Regular Project,Acquisitions
DR-1225-0018-R,Regular Project,Utility and Infrastructure Protection
DR-1225-0014-R,Regular Project,Utility and Infrastructure Protection
DR-1222-5011-R,Regular Project,Utility and Infrastructure Protection
DR-1225-0001-F,HMGP 5% Initiative,Warning Systems
DR-1207-0011-R,Regular Project,Acquisitions
DR-1183-0017-R,Regular Project,Utility and Infrastructure Protection
DR-1202-0002-R,Regular Project,Acquisitions
DR-1202-0001-F,HMGP 5% Initiative,Warning Systems
DR-1232-0020-F,HMGP 5% Initiative,Generators
DR-1190-0001-R,Regular Project,Flood Control
DR-1205-2-R,Regular Project,Other
DR-1207-0007-F,HMGP 5% Initiative,Warning Systems
DR-1205-0004-R,Regular Project,Miscellaneous
DR-1183-0023-R,Regular Project,Flood Control
DR-1205-0005-R,Regular Project,Miscellaneous
DR-1190-0010-R,Regular Project,Flood Control
DR-1226-0003-F,HMGP 5% Initiative,Other Equipment
DR-1225-0016-R,Regular Project,Acquisitions
DR-1226-0006-F,HMGP 5% Initiative,Warning Systems
DR-1232-0017-R,Regular Project,Flood Control
DR-1232-0016-R,Regular Project,Flood Control
DR-1226-0015-R,Regular Project,Flood Control
DR-1226-0027-R,Regular Project,Flood Control
DR-1183-0022-R,Regular Project,Warning Systems
DR-1226-0011-F,HMGP 5% Initiative,Other Equipment
DR-1232-0007-R,Regular Project,Flood Control
DR-1237-0014-F,HMGP 5% Initiative,Other Equipment
DR-1222-5040-R,Regular Project,Elevations
DR-1226-0004-F,HMGP 5% Initiative,Warning Systems
DR-1225-0010-R,Regular Project,Utility and Infrastructure Protection
DR-1226-0007-F,HMGP 5% Initiative,Warning Systems
DR-1183-0019-R,Regular Project,Shoreline Stabilization
DR-1183-0014-R,Regular Project,Other Equipment
DR-1183-0015-R,Regular Project,Codes and Standards
DR-1183-0008-R,Regular Project,Education and Awareness
DR-1226-0031-F,HMGP 5% Initiative,Warning Systems
DR-1226-0010-F,HMGP 5% Initiative,Warning Systems
DR-1237-0010-R,Regular Project,Other Equipment
DR-1226-0022-R,Regular Project,Flood Control
DR-1226-0009-R,Regular Project,Warning Systems
DR-1237-0009-R,Regular Project,Other Equipment
DR-1226-0043-R,Regular Project,Acquisitions
DR-1234-0001-R,Regular Project,Acquisitions
DR-1183-5002-F,HMGP 5% Initiative,Other Equipment
DR-1226-0039-R,Regular Project,Acquisitions
DR-1183-5001-F,HMGP 5% Initiative,Other Equipment
DR-1207-0009-R,Regular Project,Utility and Infrastructure Protection
DR-1190-F011-F,HMGP 5% Initiative,Warning Systems
DR-1222-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1222-5001-R,Regular Project,Utility and Infrastructure Protection
DR-1217-0001-F,HMGP 5% Initiative,Generators
DR-1217-0003-R,Regular Project,Acquisitions
DR-1207-0004-R,Regular Project,Acquisitions
DR-1222-4064-F,HMGP 5% Initiative,Education and Awareness
DR-1222-5023-R,Regular Project,Shoreline Stabilization
DR-1226-0032-F,HMGP 5% Initiative,Warning Systems
DR-1207-0008-R,Regular Project,Flood Control
DR-1217-0004-R,Regular Project,Acquisitions
DR-1225-0008-R,Regular Project,Utility and Infrastructure Protection
DR-1183-0005-R,Regular Project,Utility and Infrastructure Protection
DR-1222-5016-R,Regular Project,Shoreline Stabilization
DR-1183-0007-R,Regular Project,Shoreline Stabilization
DR-1225-0009-R,Regular Project,Utility and Infrastructure Protection
DR-1225-0019-R,Regular Project,Education and Awareness
DR-1226-0028-R,Regular Project,Miscellaneous
DR-1210-0004-R,Regular Project,Wind Retrofit
DR-1183-0001-R,Regular Project,Warning Systems
DR-1226-0018-R,Regular Project,Flood Control
DR-1190-0006-R,Regular Project,Flood Control
DR-1226-0042-R,Regular Project,Elevations
DR-1226-0025-R,Regular Project,Flood Control
DR-1207-0002-R,Regular Project,Acquisitions
DR-1226-0013-R,Regular Project,Wind Retrofit
DR-1226-0017-R,Regular Project,Other Equipment
DR-1226-0034-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-1226-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1237-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1237-0005-F,HMGP 5% Initiative,Other Equipment
DR-1190-0012-R,Regular Project,Acquisitions
DR-1226-0030-R,Regular Project,Flood Control
DR-1183-0021-R,Regular Project,Utility and Infrastructure Protection
DR-1226-0008-F,HMGP 5% Initiative,Other Equipment
DR-1225-0003-R,Regular Project,Utility and Infrastructure Protection
DR-1237-0015-R,Regular Project,Acquisitions
DR-1207-0006-F,HMGP 5% Initiative,Warning Systems
DR-1183-0011-R,Regular Project,Flood Control
DR-1183-0013-R,Regular Project,Utility and Infrastructure Protection
DR-1207-0005-F,HMGP 5% Initiative,Other Equipment
DR-1183-0024-R,Regular Project,Shoreline Stabilization
DR-1183-0020-R,Regular Project,Utility and Infrastructure Protection
DR-1222-5002-R,Regular Project,Wind Retrofit
DR-1190-0008-R,Regular Project,Flood Control
DR-1237-0001-F,HMGP 5% Initiative,Other Equipment
